index,producer->batch_size,producer->linger_ms,producer->compression_type,producer->topics,consumer->fetch_wait_max_ms
0,218756,93,None,5,99
1,75421,73,gzip,6,39
2,241401,41,None,2,318
3,155896,53,None,4,395
4,184265,44,None,8,287
5,50504,68,None,6,174
6,248840,64,gzip,10,178
7,87441,64,None,9,199
8,20872,33,None,1,252
9,140610,37,lz4,6,164
10,23109,3,lz4,4,16
11,251047,38,snappy,9,231
12,50945,13,lz4,6,408
13,134651,23,gzip,7,53
14,231687,1,snappy,2,21
15,104454,43,lz4,2,489
16,33763,76,None,10,428
17,50338,89,None,3,450
18,82730,39,lz4,8,70
19,3214,5,snappy,1,31
20,135618,6,None,4,116
21,164924,3,None,3,277
22,202541,12,snappy,4,429
23,201307,63,snappy,7,426
24,181167,59,gzip,4,211
25,27094,52,gzip,8,254
26,7397,25,gzip,2,78
27,64829,52,lz4,10,419
28,192085,92,snappy,4,148
29,167463,19,gzip,2,238
30,217424,55,lz4,8,344
31,193632,98,lz4,7,58
32,171111,5,lz4,2,416
33,233335,59,lz4,5,45
34,123643,91,None,10,8
35,93778,96,snappy,3,237
36,138069,75,gzip,5,452
37,150593,35,gzip,8,221
38,253441,32,snappy,7,173
39,65792,42,snappy,5,345
40,42888,64,lz4,6,172
41,126961,77,gzip,4,254
42,130607,46,snappy,10,406
43,31434,91,lz4,4,218
44,102619,53,None,10,463
45,73151,92,lz4,2,42
46,202725,11,None,5,175
47,234360,93,gzip,3,234
48,132123,7,gzip,8,420
49,208182,26,lz4,2,214
50,172482,41,gzip,7,76
51,233982,67,None,3,314
52,168235,65,gzip,8,438
53,150124,55,lz4,8,365
54,87600,30,None,1,169
55,149977,37,None,3,99
56,89611,61,lz4,5,328
57,175294,11,lz4,8,75
58,98024,63,snappy,2,107
59,93867,68,gzip,1,391
60,195936,30,snappy,9,432
61,184641,43,gzip,6,78
62,216098,28,gzip,3,262
63,80112,88,lz4,6,85
64,183459,18,gzip,6,415
65,4137,88,gzip,6,294
66,257971,15,snappy,1,162
67,141727,17,snappy,2,323
68,176336,49,snappy,2,167
69,256045,87,None,6,112
70,216269,78,snappy,6,475
71,163644,11,gzip,10,75
72,64504,80,gzip,9,350
73,104794,44,None,6,145
74,173929,21,lz4,6,261
75,178684,3,None,2,37
76,79991,30,None,8,74
77,258023,98,gzip,3,462
78,234516,75,gzip,7,85
79,6736,95,None,6,396
80,259948,9,gzip,3,148
81,8822,88,snappy,3,238
82,23331,22,lz4,1,21
83,152014,8,None,8,47
84,28831,68,gzip,4,45
85,35937,86,snappy,5,355
86,59597,58,lz4,9,262
87,30720,73,snappy,8,297
88,175455,96,gzip,8,150
89,10725,72,snappy,6,268
90,112557,100,gzip,5,377
91,13123,24,lz4,1,224
92,91742,67,lz4,8,135
93,78279,31,None,7,85
94,144638,9,lz4,6,483
95,130355,39,gzip,4,102
96,161057,87,None,8,314
97,97201,39,gzip,7,35
98,107423,14,lz4,6,351
99,75835,32,gzip,9,488
